provider,file_stem,matches_rows,eligible_explicit_rows,eligible_alias_rows,sum_valor_brl_explicit
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,7,0,0,0.00
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,17,0,0,0.00
Aparecida,12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA,18,0,0,0.00
Canal Brasil,Relatorio_CanalBrasil_Jan24,1,0,0,0.00
Canal Brasil,Ubem_CanalBrasil_Fev24 (1),1,0,0,0.00
Canal Brasil,Ubem_CanalBrasil_Março24 (1),1,0,0,0.00
CanalBrasil unificado Jan fev mar24 dez 2023,CanalBrasil unificado Jan fev mar24 dez 2023,0,0,12,0.00
Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023,0,41,555,0.00
Desconhecido,Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24,4,0,3,0.00
Globo,MusicCueSheet_TvAberta_Agosto2023,58,0,24,0.00
Globo,MusicCueSheet_TvAberta_Outubro2023,45,0,61,0.00
Globo,Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23,6,1,0,0.00
Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,0,1,149,0.00
Globo Unificado nov dez2023,Globo Unificado nov dez2023,0,1,174,0.00
SBT,Unificado SBT nov dez 23 e jan fev mar 24,188,4,56,6693.24
SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24,0,4,56,6693.24
Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024,0,0,2,0.00
band UNIFICADO out dez 2023 jan fev 2024,band UNIFICADO out dez 2023 jan fev 2024,113,8,43,418.56
