provider,file_stem,source_sheet,programa,data_exibicao,numero_programa,titulo_musica,autor,interprete,matched_title,matched_identifier_iswc,eligibility_basis,uncertain_match,amount_cents,amount_int,valor_editora_brl
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-11-25 00:00:00,,Deja Vu,"Peu Souza,Pitty",Day,DÉJÀ VU,T-308.187.765-4,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-11-25 00:00:00,,Máscara,Pitty,Day,MÁSCARA,nan,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-11-25 00:00:00,,Teto De Vidro,Pitty,Day,TETO DE VIDRO,T-321.537.364-7,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-11-25 00:00:00,,Deja Vu,"Peu Souza,Pitty",Day,DÉJÀ VU,T-308.187.765-4,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-11-25 00:00:00,,Máscara,Pitty,Day,MÁSCARA,nan,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Versões,2020-11-25 00:00:00,,Teto De Vidro,Pitty,Day,TETO DE VIDRO,T-321.537.364-7,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Experimente.,2021-09-21 00:00:00,,Temporal,"Iuri Rio Branco D Luz,Marina Sena",Marina Sena,TEMPORAL,T-307.003.180-6,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Experimente.,2021-09-21 00:00:00,,Temporal,"Iuri Rio Branco D Luz,Marina Sena",Marina Sena,TEMPORAL,T-307.003.180-6,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Experimente.,2021-09-21 00:00:00,,Temporal,"Iuri Rio Branco D Luz,Marina Sena",Marina Sena,TEMPORAL,T-307.003.180-6,artist_alias,True,0,0,
Clipes,Clipes Unificados_nov Dez 2023,ConsolidadoDiversos_Dezembro23,Palco Principal - Afropunk Bahia 2023 - Djonga,2023-12-10 00:00:00,,Penumbra,Gustavo Marques,Djonga,PENUMBRA,T-040.011.904-1,artist_alias,True,0,0,
